iter	Passed	Remaining
0	252	252141
1	311	155468
2	349	116259
3	374	93164
4	393	78323
5	433	71760
6	471	66902
7	507	62873
8	525	57855
9	563	55796
10	576	51829
11	611	50320
12	645	48989
13	685	48254
14	719	47258
15	756	46512
16	791	45763
17	804	43914
18	848	43814
19	878	43043
20	921	42943
21	977	43452
22	1021	43390
23	1059	43100
24	1098	42843
25	1138	42655
26	1176	42413
27	1210	42038
28	1248	41793
29	1287	41619
30	1328	41528
31	1344	40662
32	1381	40490
33	1416	40257
34	1461	40289
35	1504	40294
36	1541	40129
37	1580	40012
38	1617	39866
39	1635	39247
40	1682	39356
41	1726	39371
42	1765	39286
43	1806	39258
44	1845	39162
45	1857	38513
46	1893	38393
47	1932	38327
48	1975	38349
49	2009	38189
50	2046	38087
51	2113	38522
52	2153	38482
53	2190	38381
54	2208	37939
55	2244	37834
56	2282	37767
57	2321	37697
58	2360	37644
59	2395	37533
60	2414	37162
61	2450	37072
62	2487	36995
63	2525	36937
64	2561	36851
65	2600	36800
66	2635	36698
67	2672	36633
68	2706	36517
69	2744	36459
70	2780	36382
71	2817	36317
72	2858	36303
73	2873	35960
74	2911	35905
75	2947	35833
76	2988	35829
77	3023	35743
78	3064	35723
79	3100	35655
80	3140	35629
81	3176	35555
82	3213	35506
83	3246	35403
84	3284	35356
85	3320	35291
86	3359	35250
87	3397	35207
88	3433	35144
89	3451	34900
90	3484	34809
91	3522	34765
92	3558	34708
93	3595	34658
94	3629	34578
95	3650	34376
96	3687	34324
97	3719	34235
98	3759	34212
99	3796	34171
100	3834	34133
101	3872	34089
102	3909	34047
103	3944	33985
104	3984	33959
105	4001	33751
106	4042	33735
107	4080	33698
108	4120	33685
109	4156	33626
110	4193	33584
111	4228	33529
112	4269	33515
113	4307	33475
114	4344	33432
115	4381	33391
116	4419	33356
117	4455	33301
118	4493	33266
119	4531	33230
120	4575	33238
121	4602	33119
122	4641	33092
123	4676	33040
124	4717	33022
125	4755	32985
126	4791	32939
127	4830	32906
128	4864	32842
129	4881	32668
130	4915	32607
131	4951	32557
132	4985	32502
133	5022	32461
134	5055	32389
135	5084	32300
136	5121	32261
137	5159	32226
138	5199	32204
139	5211	32011
140	5249	31981
141	5286	31944
142	5302	31775
143	5337	31726
144	5372	31681
145	5412	31659
146	5448	31618
147	5486	31583
148	5522	31543
149	5563	31528
150	5599	31483
151	5638	31454
152	5669	31384
153	5704	31339
154	5741	31299
155	5775	31248
156	5813	31212
157	5852	31186
158	5889	31149
159	5925	31109
160	5959	31054
161	5996	31016
162	6034	30985
163	6072	30952
164	6107	30909
165	6147	30887
166	6184	30848
167	6223	30823
168	6259	30781
169	6294	30734
170	6332	30699
171	6368	30656
172	6409	30637
173	6445	30598
174	6485	30576
175	6520	30525
176	6561	30507
177	6595	30457
178	6634	30429
179	6670	30388
180	6709	30358
181	6746	30323
182	6785	30294
183	6821	30252
184	6863	30236
185	6913	30254
186	6951	30220
187	6965	30086
188	7006	30062
189	7025	29950
190	7039	29817
191	7077	29783
192	7114	29748
193	7152	29716
194	7188	29677
195	7226	29644
196	7238	29504
197	7275	29471
198	7313	29437
199	7332	29331
200	7371	29301
201	7387	29182
202	7426	29155
203	7463	29123
204	7500	29087
205	7540	29062
206	7578	29034
207	7615	28998
208	7656	28976
209	7695	28951
210	7729	28901
211	7767	28872
212	7804	28834
213	7845	28816
214	7883	28785
215	7924	28764
216	7937	28640
217	7975	28609
218	8013	28576
219	8047	28532
220	8084	28498
221	8121	28460
222	8157	28423
223	8191	28376
224	8227	28338
225	8264	28304
226	8274	28176
227	8323	28184
228	8373	28193
229	8417	28180
230	8479	28226
